,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
北京市,0.0,2.0,2.0,7.0,7.0,2.0,2.0,2.0,8.0,8.0,8.0,5.0,8.0,8.0,2.0,2.0,5.0,7.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,10.0,2.0,4.0,2.0,4.0,10.0
天津市,2.0,0.0,0.0,7.0,7.0,2.0,2.0,2.0,8.0,8.0,8.0,5.0,8.0,8.0,2.0,2.0,5.0,7.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,10.0,2.0,4.0,2.0,4.0,10.0
河北省,2.0,0.0,0.0,7.0,7.0,2.0,2.0,2.0,8.0,8.0,8.0,5.0,8.0,8.0,2.0,2.0,5.0,7.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,10.0,2.0,4.0,2.0,4.0,10.0
山西省,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,3.0,3.0,3.0,6.0,3.0,3.0,7.0,7.0,6.0,2.0,2.0,6.0,3.0,6.0,6.0,6.0,6.0,10.0,7.0,7.0,7.0,7.0,10.0
内蒙古自治区,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,3.0,3.0,3.0,6.0,3.0,3.0,7.0,7.0,6.0,2.0,2.0,6.0,3.0,6.0,6.0,6.0,6.0,10.0,7.0,7.0,7.0,7.0,10.0
辽宁省,2.0,2.0,2.0,7.0,7.0,0.0,0.0,0.0,8.0,8.0,8.0,5.0,8.0,8.0,2.0,2.0,5.0,7.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,10.0,2.0,4.0,2.0,4.0,10.0
吉林省,2.0,2.0,2.0,7.0,7.0,0.0,0.0,0.0,8.0,8.0,8.0,5.0,8.0,8.0,2.0,2.0,5.0,7.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,10.0,2.0,4.0,2.0,4.0,10.0
黑龙江省,2.0,2.0,2.0,7.0,7.0,0.0,0.0,0.0,8.0,8.0,8.0,5.0,8.0,8.0,2.0,2.0,5.0,7.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,10.0,2.0,4.0,2.0,4.0,10.0
上海市,8.0,8.0,8.0,3.0,3.0,8.0,8.0,8.0,0.0,0.0,0.0,7.0,2.0,4.0,8.0,8.0,7.0,3.0,3.0,7.0,2.0,7.0,7.0,7.0,7.0,10.0,8.0,8.0,8.0,8.0,10.0
江苏省,8.0,8.0,8.0,3.0,3.0,8.0,8.0,8.0,0.0,0.0,0.0,7.0,2.0,4.0,8.0,8.0,7.0,3.0,3.0,7.0,2.0,7.0,7.0,7.0,7.0,10.0,8.0,8.0,8.0,8.0,10.0
浙江省,8.0,8.0,8.0,3.0,3.0,8.0,8.0,8.0,0.0,0.0,0.0,7.0,2.0,4.0,8.0,8.0,7.0,3.0,3.0,7.0,2.0,7.0,7.0,7.0,7.0,10.0,8.0,8.0,8.0,8.0,10.0
安徽省,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,0.0,7.0,7.0,5.0,5.0,2.0,6.0,6.0,2.0,7.0,2.0,2.0,2.0,2.0,10.0,5.0,5.0,5.0,5.0,10.0
福建省,8.0,8.0,8.0,3.0,3.0,8.0,8.0,8.0,2.0,2.0,2.0,7.0,0.0,4.0,8.0,8.0,7.0,3.0,3.0,7.0,0.0,7.0,7.0,7.0,7.0,10.0,8.0,8.0,8.0,8.0,10.0
江西省,8.0,8.0,8.0,3.0,3.0,8.0,8.0,8.0,4.0,4.0,4.0,7.0,4.0,0.0,8.0,8.0,7.0,3.0,3.0,7.0,4.0,7.0,7.0,7.0,7.0,10.0,8.0,8.0,8.0,8.0,10.0
山东省,2.0,2.0,2.0,7.0,7.0,2.0,2.0,2.0,8.0,8.0,8.0,5.0,8.0,8.0,0.0,2.0,5.0,7.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,10.0,2.0,4.0,2.0,4.0,10.0
河南省,2.0,2.0,2.0,7.0,7.0,2.0,2.0,2.0,8.0,8.0,8.0,5.0,8.0,8.0,2.0,0.0,5.0,7.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,10.0,0.0,4.0,0.0,4.0,10.0
湖北省,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,2.0,7.0,7.0,5.0,5.0,0.0,6.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,5.0,5.0,10.0
湖南省,7.0,7.0,7.0,2.0,2.0,7.0,7.0,7.0,3.0,3.0,3.0,6.0,3.0,3.0,7.0,7.0,6.0,0.0,2.0,6.0,3.0,6.0,6.0,6.0,6.0,10.0,7.0,7.0,7.0,7.0,10.0
广东省,7.0,7.0,7.0,2.0,2.0,7.0,7.0,7.0,3.0,3.0,3.0,6.0,3.0,3.0,7.0,7.0,6.0,2.0,0.0,6.0,3.0,6.0,6.0,6.0,6.0,10.0,7.0,7.0,7.0,7.0,10.0
广西壮族自治区,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,2.0,7.0,7.0,5.0,5.0,0.0,6.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,5.0,5.0,10.0
海南省,8.0,8.0,8.0,3.0,3.0,8.0,8.0,8.0,2.0,2.0,2.0,7.0,0.0,4.0,8.0,8.0,7.0,3.0,3.0,7.0,0.0,7.0,7.0,7.0,7.0,10.0,8.0,8.0,8.0,8.0,10.0
重庆市,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,2.0,7.0,7.0,5.0,5.0,0.0,6.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,5.0,5.0,10.0
四川省,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,2.0,7.0,7.0,5.0,5.0,0.0,6.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,5.0,5.0,10.0
贵州省,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,2.0,7.0,7.0,5.0,5.0,0.0,6.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,5.0,5.0,10.0
云南省,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,7.0,7.0,7.0,2.0,7.0,7.0,5.0,5.0,0.0,6.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,5.0,5.0,10.0
西藏自治区,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0
陕西省,2.0,2.0,2.0,7.0,7.0,2.0,2.0,2.0,8.0,8.0,8.0,5.0,8.0,8.0,2.0,0.0,5.0,7.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,10.0,0.0,4.0,0.0,4.0,10.0
甘肃省,4.0,4.0,4.0,7.0,7.0,4.0,4.0,4.0,8.0,8.0,8.0,5.0,8.0,8.0,4.0,4.0,5.0,7.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,10.0,4.0,0.0,4.0,0.0,10.0
青海省,2.0,2.0,2.0,7.0,7.0,2.0,2.0,2.0,8.0,8.0,8.0,5.0,8.0,8.0,2.0,0.0,5.0,7.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,10.0,0.0,4.0,0.0,4.0,10.0
宁夏回族自治区,4.0,4.0,4.0,7.0,7.0,4.0,4.0,4.0,8.0,8.0,8.0,5.0,8.0,8.0,4.0,4.0,5.0,7.0,7.0,5.0,8.0,5.0,5.0,5.0,5.0,10.0,4.0,0.0,4.0,0.0,10.0
新疆维吾尔自治区,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0
